数据库：年度数据,,,,
时间：最近10年,,,,
指标,2016年,2015年,2014年,2013年
石油储量(万吨),350120.3,349610.7,343335,336732.8
天然气储量(亿立方米),54365.5,51939.5,49451.8,46428.8
煤炭储量(亿吨),2492.3,2440.1,2399.9,2362.9
锰矿储量(万吨),31033.6,27626.2,21415.4,21547.7
原生钛铁矿储量(万吨),23065.1,21434,21611.2,21957
铜矿储量(万吨),2621,2721.8,2836.4,2751.5
锌矿储量(万吨),4439.1,4102.7,4034.1,3766.2
铝土矿储量(万吨),100955.3,99758.2,98321.9,98323.5
金矿储量(吨),2021.5,1986.7,2016.7,1865.5
银矿储量(吨),40611.1,39387,38504,37496
菱镁矿储量(万吨),100772.5,103923.6,108367,120747.5
普通萤石储量(万吨),4229.2,4081.7,3975.8,3680.3
硫铁矿储量(万吨),127809,131101.3,133859.9,130194.1
钾盐储量(万吨),56212,57582.3,59475.9,53491.6
重晶石储量(万吨),3626.2,3703.1,3029.1,3986.1
玻璃硅质原料储量(万吨),196374.7,198956.7,190392.1,191594.1
石墨储量(万吨),7321.5,5516.4,4129,5347.7
滑石储量(万吨),8204.6,8121.7,8395.4,9273.9
高岭土储量(万吨),69285.1,57402.8,57521.2,49649.7
注：1.石油储量数据为剩余技术可采储量。,,,,
　　　2.天然气储量数据为剩余技术可采储量。,,,,
　　　3.资源类数据来源于国土资源部。,,,,
数据来源：国家统计局,,,,
